customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalChargesPerTenure,TenureGroup,MonthlyChargePerTenure,ChurnNumeric,ServiceCount,MonthlyChargePerService,TotalServiceCount,MonthlyChargePerTotalService,ServiceDensity,TotalChargesPerService
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,29.85,0-1 Year,29.85,0,2,14.925,3,9.95,3.0,9.950000000000001
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,55.5735294117647,2-4 Years,1.675,0,4,14.2375,5,11.39,0.1470588235294117,377.9
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,54.075,0-1 Year,26.925,1,4,13.4625,5,10.77,2.5,21.630000000000003
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,40.90555555555556,2-4 Years,0.94,0,4,10.575,5,8.459999999999999,0.1111111111111111,368.15
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,75.825,0-1 Year,35.35,1,2,35.35,3,23.566666666666663,1.5,50.550000000000004
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,102.5625,0-1 Year,12.45625,1,6,16.608333333333334,7,14.235714285714286,0.875,117.21428571428571
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,88.60909090909091,1-2 Years,4.05,0,5,17.82,6,14.85,0.2727272727272727,324.90000000000003
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,30.189999999999998,0-1 Year,2.975,0,2,14.875,3,9.916666666666666,0.3,100.63333333333333
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,108.78750000000001,2-4 Years,3.742857142857143,1,7,14.971428571428572,8,13.1,0.2857142857142857,380.75625
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,56.25725806451613,5-6 Years,0.9056451612903226,0,4,14.0375,5,11.23,0.0806451612903225,697.5899999999999
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,45.18846153846154,1-2 Years,3.842307692307693,0,3,16.650000000000002,4,12.4875,0.3076923076923077,146.8625
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,20.425,1-2 Years,1.184375,0,1,18.95,1,18.95,0.0625,326.8
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,97.95,4-5 Years,1.7301724137931034,0,6,16.724999999999998,7,14.335714285714284,0.1206896551724138,811.5857142857143
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,102.78163265306122,4-5 Years,2.1163265306122447,1,7,14.814285714285717,8,12.9625,0.1632653061224489,629.5375
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,107.44200000000001,2-4 Years,4.22,0,7,15.071428571428571,8,13.1875,0.32,335.75625
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,114.42246376811593,5-6 Years,1.641304347826087,0,9,12.583333333333334,10,11.325,0.144927536231884,789.515
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,19.672115384615385,4-5 Years,0.3971153846153846,0,1,20.65,1,20.65,0.0192307692307692,1022.95
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,103.97535211267606,5-6 Years,1.5028169014084507,0,7,15.242857142857144,8,13.3375,0.1126760563380281,922.78125
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,52.835,0-1 Year,5.5200000000000005,1,4,13.8,5,11.04,0.5,105.67
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,88.70952380952382,1-2 Years,4.288095238095238,0,5,18.009999999999998,6,15.008333333333333,0.2857142857142857,310.48333333333335
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,39.65,0-1 Year,39.65,1,3,13.216666666666669,4,9.9125,4.0,9.9125
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,16.854166666666668,0-1 Year,1.65,0,1,19.8,1,19.8,0.0833333333333333,202.25
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,20.15,0-1 Year,20.15,1,1,20.15,1,20.15,1.0,20.15
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,60.432758620689654,4-5 Years,1.032758620689655,0,5,11.98,6,9.983333333333333,0.1034482758620689,584.1833333333333
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,60.61836734693878,4-5 Years,1.2163265306122448,0,5,11.92,6,9.933333333333334,0.1224489795918367,495.05
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,51.019999999999996,2-4 Years,1.8433333333333333,0,4,13.825,5,11.06,0.1666666666666666,306.12
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,101.04574468085106,2-4 Years,2.1138297872340424,1,6,16.558333333333334,7,14.19285714285714,0.1489361702127659,678.4499999999999
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,30.2,0-1 Year,30.2,1,2,15.1,3,10.066666666666666,3.0,10.066666666666666
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,88.46458333333334,5-6 Years,1.2534722222222223,0,9,10.02777777777778,10,9.025,0.1388888888888889,636.9449999999999
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,64.3,1-2 Years,3.8058823529411767,1,4,16.175,5,12.94,0.2941176470588235,218.61999999999998
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,95.30915492957746,5-6 Years,1.3570422535211266,0,7,13.764285714285714,8,12.04375,0.1126760563380281,845.86875
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,90.825,0-1 Year,47.75,0,5,19.1,6,15.916666666666666,3.0,30.275000000000002
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,69.42407407407407,2-4 Years,2.45,0,6,11.025,7,9.45,0.2592592592592592,267.7785714285714
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,20.2,0-1 Year,20.2,0,1,20.2,1,20.2,1.0,20.2
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,45.25,0-1 Year,45.25,0,2,22.625,3,15.083333333333334,3.0,15.083333333333334
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,100.71805555555555,5-6 Years,1.3875000000000002,0,7,14.271428571428572,8,12.4875,0.1111111111111111,906.4625
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,63.379999999999995,0-1 Year,13.94,1,2,34.85,3,23.23333333333333,0.6,105.63333333333333
